latitude,longitude,elevation,timezone_offset,time,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,is_day,type,departure_airport,Arrival Airport
25.25,55.375,2,0,2025-08-29 08:00:00+00:00,39.03900146,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 09:00:00+00:00,36.5890007,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 10:00:00+00:00,35.28900146,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 11:00:00+00:00,35.23900223,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 12:00:00+00:00,34.73900223,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 13:00:00+00:00,34.43900299,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 14:00:00+00:00,34.0890007,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 15:00:00+00:00,33.73900223,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 16:00:00+00:00,33.43900299,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 17:00:00+00:00,33.43900299,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 18:00:00+00:00,33.18900299,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 19:00:00+00:00,32.88899994,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 20:00:00+00:00,32.73900223,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 21:00:00+00:00,32.43900299,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 22:00:00+00:00,32.28900146,,,,,hourly,Dubai,
25.25,55.375,2,0,2025-08-29 23:00:00+00:00,32.23900223,,,,,hourly,Dubai,
